,FIPS,Code,County,Population,2020_winner,DEM_per,REP_per,OTH_per,2016_winner,fips_x,county_x,state_abbr,state_x,fips_y,county_y,state_y,per_hs,per_coll,per_grad
0,1001,RTT,Autauga,58805,Trump,27.0,71.4,1.5,REP,1001,Autauga County,AL,Alabama,1001,Autauga County, Alabama,31.3788,45.7105,11.6244
1,1003,RTT,Baldwin,231767,Trump,22.4,76.2,1.4,REP,1003,Baldwin County,AL,Alabama,1003,Baldwin County, Alabama,27.1736,51.6035,11.6943
2,1005,OTT,Barbour,25223,Trump,45.8,53.5,0.8,REP,1005,Barbour County,AL,Alabama,1005,Barbour County, Alabama,35.742,34.6575,4.3322
3,1007,RTT,Bibb,22293,Trump,20.7,78.4,0.9,REP,1007,Bibb County,AL,Alabama,1007,Bibb County, Alabama,45.0741,31.8634,3.947
4,1009,RTT,Blount,59134,Trump,9.6,89.6,0.9,REP,1009,Blount County,AL,Alabama,1009,Blount County, Alabama,35.1007,43.3641,4.3603
5,1011,OCB,Bullock,10357,Biden,74.7,24.8,0.5,DEM,1011,Bullock County,AL,Alabama,1011,Bullock County, Alabama,41.4063,29.3485,4.1863
6,1013,RTT,Butler,19051,Trump,41.8,57.5,0.7,REP,1013,Butler County,AL,Alabama,1013,Butler County, Alabama,46.4906,34.0087,5.8538
7,1015,RTT,Calhoun,116441,Trump,29.8,68.8,1.3,REP,1015,Calhoun County,AL,Alabama,1015,Calhoun County, Alabama,34.4486,42.2746,8.3503
8,1017,RTT,Chambers,34772,Trump,41.6,57.3,1.1,REP,1017,Chambers County,AL,Alabama,1017,Chambers County, Alabama,37.1419,41.4791,3.9628
9,1019,RTT,Cherokee,24971,Trump,13.2,86.0,0.8,REP,1019,Cherokee County,AL,Alabama,1019,Cherokee County, Alabama,39.1527,37.0161,6.6552
10,1021,RTT,Chilton,45014,Trump,15.9,83.3,0.8,REP,1021,Chilton County,AL,Alabama,1021,Chilton County, Alabama,43.3456,33.0382,5.4257
11,1023,RTT,Choctaw,12665,Trump,41.9,57.6,0.5,REP,1023,Choctaw County,AL,Alabama,1023,Choctaw County, Alabama,36.1222,41.2717,5.3007
12,1025,RTT,Clarke,23087,Trump,43.8,55.8,0.4,REP,1025,Clarke County,AL,Alabama,1025,Clarke County, Alabama,41.5614,35.6523,5.4002
13,1027,RTT,Clay,14236,Trump,18.3,80.8,0.9,REP,1027,Clay County,AL,Alabama,1027,Clay County, Alabama,40.0277,37.0185,4.2151
14,1029,RTT,Cleburne,15056,Trump,9.3,89.7,0.9,REP,1029,Cleburne County,AL,Alabama,1029,Cleburne County, Alabama,38.3754,38.4323,5.3805
15,1031,RTT,Coffee,53465,Trump,22.8,75.9,1.3,REP,1031,Coffee County,AL,Alabama,1031,Coffee County, Alabama,27.4822,50.3311,7.8334
16,1033,RTT,Colbert,57227,Trump,29.9,68.9,1.2,REP,1033,Colbert County,AL,Alabama,1033,Colbert County, Alabama,36.9834,42.2499,6.4616
17,1035,OTT,Conecuh,11597,Trump,46.0,53.4,0.5,REP,1035,Conecuh County,AL,Alabama,1035,Conecuh County, Alabama,46.7369,32.6195,5.5971
18,1037,RTT,Coosa,10387,Trump,32.8,66.3,0.9,REP,1037,Coosa County,AL,Alabama,1037,Coosa County, Alabama,42.0481,37.5196,3.5986
19,1039,RTT,Covington,37570,Trump,15.6,83.7,0.7,REP,1039,Covington County,AL,Alabama,1039,Covington County, Alabama,37.2563,41.7849,6.3036
20,1041,RTT,Crenshaw,13194,Trump,25.7,73.5,0.8,REP,1041,Crenshaw County,AL,Alabama,1041,Crenshaw County, Alabama,38.1764,35.2644,5.38
21,1043,RTT,Cullman,87866,Trump,10.7,88.1,1.2,REP,1043,Cullman County,AL,Alabama,1043,Cullman County, Alabama,32.2757,44.7111,5.2768
22,1045,RTT,Dale,49326,Trump,26.2,72.5,1.3,REP,1045,Dale County,AL,Alabama,1045,Dale County, Alabama,30.8991,48.7501,5.6649
