,FIPS,Code,Population,2020_winner,DEM_per,REP_per,OTH_per,2016_winner,fips_x,county,state_abbr,state,fips_y,per_hs,per_coll,per_grad,EST_RACE_T_POP_One_race_White,EST_RACE_T_POP_One_race_AA,EST_RACE_T_POP_One_race_AI,EST_RACE_T_POP_One_race_Asian,Percent_T_housing_units,"Percent_CITIZEN,_VOTE,_18_and_over_POP","Percent_CITIZEN,_VOTE,_18_and_over_POP_Male","Percent_CITIZEN,_VOTE,_18_and_over_POP_Female",EST_Percent_T_POP_AGE_20_to_24_years,EST_Percent_T_POP_AGE_25_to_29_years,EST_Percent_T_POP_AGE_35_to_39_years,EST_Percent_T_POP_AGE_40_to_44_years,EST_Percent_T_POP_AGE_45_to_49_years,EST_Percent_T_POP_AGE_50_to_54_years,EST_Percent_T_POP_AGE_55_to_59_years,EST_Percent_T_POP_AGE_60_to_64_years,EST_Percent_T_POP_AGE_65_to_69_years,EST_Percent_T_POP_AGE_70_to_74_years,EST_Percent_T_POP_AGE_75_to_79_years,EST_Percent_T_POP_AGE_80_to_84_years,EST_Percent_T_POP_AGE_85_YO,EST_Percent_Female_T_POP_SUM_Sex_ratio_(MP100F),EST_HH_Median_income_(dollars),MOE_HH_Median_income_(dollars),EST_HH_Mean_income_(dollars),MOE_HH_Mean_income_(dollars),EST_T_CE_POP_16_YO,EST_T_PERCENT_ALLOCATED_Occupation
0,1001,RTT,58805,Trump,27.0,71.4,1.5,REP,1001,Autauga County,AL,Alabama,1001,31.3788,45.7105,11.6244,42150,10866,155,649,,41959,47.6,52.4,6.2,6.6,6.1,6.1,7.2,6.8,7.4,5.5,4.4,4.5,3.3,1.3,1.7,,57982.0,4839.0,75614,5718,24580,10.8
1,1003,RTT,231767,Trump,22.4,76.2,1.4,REP,1003,Baldwin County,AL,Alabama,1003,27.1736,51.6035,11.6943,186504,19153,1514,2033,,167986,47.8,52.2,5.1,5.6,5.5,5.8,6.5,6.6,7.0,7.4,6.4,6.0,4.1,2.2,1.9,,61756.0,2268.0,83626,2634,98768,13.7
2,1005,OTT,25223,Trump,45.8,53.5,0.8,REP,1005,Barbour County,AL,Alabama,1005,35.742,34.6575,4.3322,11587,11929,88,122,,19468,53.2,46.8,6.1,7.4,7.2,5.7,6.1,6.4,6.4,6.4,5.7,5.8,3.6,2.1,1.9,,34990.0,2909.0,51557,4229,8707,14.6
3,1007,RTT,22293,Trump,20.7,78.4,0.9,REP,1007,Bibb County,AL,Alabama,1007,45.0741,31.8634,3.947,17138,5045,12,56,,17583,53.6,46.4,5.8,7.9,6.6,6.8,7.2,6.8,6.7,6.0,5.4,4.3,3.6,1.7,1.5,,51721.0,6237.0,61655,5787,8303,15.7
4,1009,RTT,59134,Trump,9.6,89.6,0.9,REP,1009,Blount County,AL,Alabama,1009,35.1007,43.3641,4.3603,54271,808,55,236,,42978,48.9,51.1,5.5,6.2,5.7,6.8,6.8,6.4,6.8,6.8,5.7,4.7,2.6,2.8,2.2,,48922.0,2269.0,66360,3864,22836,17.8
5,1011,OCB,10357,Biden,74.7,24.8,0.5,DEM,1011,Bullock County,AL,Alabama,1011,41.4063,29.3485,4.1863,2663,6980,0,137,,7808,54.3,45.7,4.7,6.1,4.6,5.4,7.3,7.1,5.3,8.4,5.0,4.9,2.8,1.7,1.7,,33866.0,10094.0,50664,5359,4007,26.4
6,1013,RTT,19051,Trump,41.8,57.5,0.7,REP,1013,Butler County,AL,Alabama,1013,46.4906,34.0087,5.8538,10183,8795,66,261,,15080,44.0,56.0,5.5,6.1,5.6,6.3,5.3,5.7,7.3,6.8,6.8,5.6,4.1,1.9,2.4,,44850.0,2891.0,62399,3620,7971,17.0
7,1015,RTT,116441,Trump,29.8,68.8,1.3,REP,1015,Calhoun County,AL,Alabama,1015,34.4486,42.2746,8.3503,83801,24190,358,925,,88122,47.2,52.8,6.4,7.0,6.2,5.4,6.1,6.3,6.7,7.2,5.9,4.7,3.7,1.7,1.7,,50128.0,1964.0,65276,2164,47905,11.3
8,1017,RTT,34772,Trump,41.6,57.3,1.1,REP,1017,Chambers County,AL,Alabama,1017,37.1419,41.4791,3.9628,19015,13372,81,368,,26117,46.9,53.1,6.4,6.9,5.7,4.5,6.5,6.9,7.7,6.7,6.9,5.0,3.9,2.0,1.8,,43875.0,3861.0,56122,3112,14724,13.1
9,1019,RTT,24971,Trump,13.2,86.0,0.8,REP,1019,Cherokee County,AL,Alabama,1019,39.1527,37.0161,6.6552,23970,1250,150,26,,20671,49.2,50.8,5.3,5.5,4.3,5.4,6.2,7.8,8.1,7.7,6.9,6.8,4.2,2.9,2.2,,42509.0,3824.0,61278,5219,10310,13.6
